match_id,date,venue,team_bat_first,team_bowl_first,toss_winner,toss_decision,match_winner,bat_first_won
57,"May 13, 2026","Shaheed Veer Narayan Singh International Stadium, Raipur",KKR,RCB,,,RCB,0
58,"May 14, 2026","Himachal Pradesh Cricket Association Stadium, Dharamsala",PBKS,MI,,,MI,0
59,"May 15, 2026","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",CSK,LSG,,,LSG,0
60,"May 16, 2026","Eden Gardens, Kolkata",KKR,GT,,,KKR,1
61,"May 17, 2026","Himachal Pradesh Cricket Association Stadium, Dharamsala",RCB,PBKS,,,RCB,1
62,"May 17, 2026","Arun Jaitley Stadium, Delhi",RR,DC,,,DC,0
63,"May 18, 2026","MA Chidambaram Stadium, Chennai",CSK,SRH,,,SRH,0
64,"May 19, 2026","Sawai Mansingh Stadium, Jaipur",LSG,RR,,,RR,0
65,"May 20, 2026","Eden Gardens, Kolkata",MI,KKR,,,KKR,0
66,"May 21, 2026","Narendra Modi Stadium, Ahmedabad",GT,CSK,,,GT,1
67,"May 22, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,RCB,,,SRH,1
68,"May 23, 2026","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,PBKS,,,PBKS,0
69,"May 24, 2026","Wankhede Stadium, Mumbai",RR,MI,,,RR,1
70,"May 24, 2026","Eden Gardens, Kolkata",DC,KKR,,,DC,1
71,"May 26, 2026","Himachal Pradesh Cricket Association Stadium, Dharamsala",RCB,GT,,,RCB,1
72,"May 27, 2026","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",RR,SRH,,,RR,1
73,"May 29, 2026","Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",RR,GT,,,GT,0
74,"May 31, 2026","Narendra Modi Stadium, Ahmedabad",GT,RCB,,,RCB,0
